"Català","Castellà","Anglès"
"Afghanistan","Afganistan","Afghanistan"
"Albània","Albania","Aland Islands"
"Alemanya","Alemania","Albania"
"Andorra","Andorra","Algeria"
"Angola Angola","Angola","American Samoa"
"Antigua i Barbuda","Antigua y Barbuda","Andorra"
"Antilles","Antillas Holandesas","Angola"
"Antilles Holandeses","Arabia Saudita","Anguilla"
"Aràbia Saudita","Argelia","Antarctica"
"Svalbard","Argentina","Antigua And Barbuda"
"Algèria","Armenia","Argentina"
"Argentina","Aruba","Armenia"
"Armènia","Australia","Aruba"
"Aruba","Austria","Australia"
"Austràlia","Azerbaijan","Austria"
"Àustria","Bahamas","Azerbaijan"
"Azerbaidjan","Bahrain","Bahamas"
"Bahames","Bangladesh","Bahrain"
"illes Bahrein","Barbados","Bangladesh"
"Bangla Desh","Belarusia","Barbados"
"Barbados","Belgica","Belarus"
"Bèlgica","Belice","Belgium"
"Belize","Benin","Belize"
"Bermudes","Bermudas","Benin"
"Bhutan","Bolivia","Bermuda"
"Bielorússia","Bosnia","Bhutan"
"Bolívia","Botswana","Bolivia"
"Bòsnia i Herzegovina","Brasil","Bosnia And Herzegovina"
"Botswana","Brunei Darussulam","Botswana"
"Brasil","Bulgaria","Bouvet Island"
"Brunei","Burkina Faso","Brazil"
"Bulgària","Burundi","British Indian Ocean Territory"
"Burkina Faso","Butan","Brunei Darussalam"
"Burundi","Camboya","Bulgaria"
"Cap Verd","Camerun","Burkina Faso"
"Cambodja","Canada","Burundi"
"Camerun","Cape Verde","Cambodia"
"Canadà","Chad","Cameroon"
"Txad","Chile","Canada"
"Xile","China","Cape Verde"
"Xina","Chipre","Cayman Islands"
"Xipre","Colombia","Central African Republic"
"Ciutat del Vaticà","Comoros","Chad"
"Colòmbia","Congo","Chile"
"Comores","Corea del Norte","China"
"Congo","Corea del Sur","Christmas Island"
"Corea del Nord","Costa de Marfíl","Cocos (Keeling) Islands"
"Corea del Sud","Costa Rica","Colombia"
"Costa d'Ivori","Croasia","Comoros"
"Costa Rica","Cuba","Congo"
"Croàcia","Dinamarca","Congo, The Democratic Republic Of The"
"Cuba","Djibouti","Cook Islands"
"Benín","Dominica","Costa Rica"
"Dinamarca","Ecuador","Cote D'Ivoire"
"Djibouti","Egipto","Croatia"
"Dominica","El Salvador","Cuba"
"Equador","Emiratos Arabes Unidos","Cyprus"
"Egipte","Eritrea","Czech Republic"
"El Salvador","Eslovenia","Denmark"
"Emirats Àrabs Units","España","Djibouti"
"Eritrea","Estados Unidos","Dominica"
"Eslovàquia","Estonia","Dominican Republic"
"Eslovènia","Etiopia","Ecuador"
"Espanya","Fiji","Egypt"
"Catalunya","Filipinas","El Salvador"
"Estats Units d'Amèrica","Finlandia","Equatorial Guinea"
"EEUU","Francia","Eritrea"
"Estònia","Gabon","Estonia"
"Etiòpia","Gambia","Ethiopia"
"Federació Russa","Georgia","Falkland Islands (Malvinas)"
"Rússia","Ghana","Faroe Islands"
"Federació Malaia","Granada","Fiji"
"Fiji","Grecia","Finland"
"Filipines","Groenlandia","France"
"Finlàndia","Guadalupe","French Guiana"
"França","Guam","French Polynesia"
"Gabon","Guatemala","French Southern Territories"
"Gàmbia","Guayana Francesa","Gabon"
"Geòrgia","Guerney","Gambia"
"Ghana","Guinea","Georgia"
"Gibraltar","Guinea-Bissau","Germany"
"Granada","Guinea Equatorial","Ghana"
"Grècia","Guyana","Gibraltar"
"Groenlàndia","Haiti","Greece"
"Guadalupe","Holanda","Greenland"
"Guatemala","Honduras","Grenada"
"Guinea","Hong Kong","Guadeloupe"
"Guinea Bissau","Hungria","Guam"
"Guinea Equatorial","India","Guatemala"
"Guaiana","Indonesia","Guernsey"
"Guaiana Francesa","Irak","Guinea"
"Haití","Iran","Guinea-Bissau"
"Hondures","Irlanda","Guyana"
"Hong Kong","Islandia","Haiti"
"Hongria","Islas Caiman","Heard Island And Mcdonald Islands"
"Índia","Islas Faroe","Holy See (Vatican City State)"
"Indonèsia","Islas Malvinas","Honduras"
"Iraq","Islas Marshall","Hong Kong"
"Iran","Islas Solomon","Hungary"
"Irlanda","Islas Virgenes Britanicas","Iceland"
"Illa de Man","Islas Virgenes (U.S.)","India"
"Islàndia","Israel","Indonesia"
"Anglonormandes","Italia","Iran, Islamic Republic Of"
"Caiman Islands","Jamaica","Iraq"
"Illes Cook","Japon","Ireland"
"Feroe ","Jersey","Isle Of Man"
"Malvines","JJordania","Israel"
"Marianas del Nort","Kazakhstan","Italy"
"Marshall","Kenia","Jamaica"
"Illes Salomó","Kiribati","Japan"
"Turks i Caicos","Kuwait","Jersey"
"Illes Verges Britàniques","Kyrgyzstan","Jordan"
"Wallis i Futuna","Laos","Kazakhstan"
"Israel","Latvia","Kenya"
"Itàlia","Lesotho","Kiribati"
"Jamaica","Libano","Korea, Democratic People'S Republic Of"
"Japó","Liberia","Korea, Republic Of"
"Jordània","Libia","Kuwait"
"Kazakhstan","Liechtenstein","Kyrgyzstan"
"Kenya Kenya","Lituania","Lao People'S Democratic Republic"
"Kirguizistan","Luxemburgo","Latvia"
"Kiribati","Macao","Lebanon"
"Kuwait","Macedonia","Lesotho"
"Laos","Madagascar","Liberia"
"Lesotho","Malasia","Libyan Arab Jamahiriya"
"Letònia","Malawi","Liechtenstein"
"Líban","Maldivas","Lithuania"
"Libèria","Mali","Luxembourg"
"Líbia","Malta","Macao"
"Liechtenstein","Marruecos","Macedonia, The Former Yugoslav Republic Of"
"Lituània","Martinica","Madagascar"
"Luxemburg","Mauricio","Malawi"
"Macau","Mauritania","Malaysia"
"Macedònia","Mexico","Maldives"
"Madagascar","Micronesia","Mali"
"Malàisia","Moldova","Malta"
"Malawi","Monaco","Marshall Islands"
"Maldives","Mongolia","Martinique"
"Mali","Mozambique","Mauritania"
"Malta","Myanmar (Burma)","Mauritius"
"Marroc","Namibia","Mayotte"
"Martinica","Nepal","Mexico"
"Maurici","Nicaragua","Micronesia, Federated States Of"
"Mauritània","Niger","Moldova, Republic Of"
"Mayotte","Nigeria","Monaco"
"Mèxic","Noruega","Mongolia"
"Micronèsia","Nueva Caledonia","Montserrat"
"Mònaco","Nueva Zealandia","Morocco"
"Mongòlia","Oman","Mozambique"
"Montserrat","Pakistan","Myanmar"
"Moçambic","Palestina","Namibia"
"Myanmar","Panama","Nauru"
"Namíbia","Papua Nueva Guinea","Nepal"
"Nauru","Paraguay","Netherlands"
"Nepal","Peru","Netherlands Antilles"
"Nicaragua","Polinesia Francesa","New Caledonia"
"Níger","Polonia","New Zealand"
"Nigèria","Portugal","Nicaragua"
"Noruega","Puerto Rico","Niger"
"Nova Caledònia ","Qatar","Nigeria"
"Nova Zelanda","Reino Unido","Niue"
"Polinesia","Republica Centroafricana","Norfolk Island"
"Micronesia","Republica Checa","Northern Mariana Islands"
"Melanesia","Republica Democratica del Congo","Norway"
"Oman","Republica Dominicana","Oman"
"Països Baixos","Republica Eslovaca","Pakistan"
"Holanda","Reunion","Palau"
"Pakistan","Ruanda","Palestinian Territory, Occupied"
"illes Palau","Rumania","Panama"
"Palestina","Rusia","Papua New Guinea"
"Panamà","Sahara","Paraguay"
"Papua Nova Guinea","Samoa","Peru"
"Paraguai","San Cristobal-Nevis (St. Kitts)","Philippines"
"Perú","San Marino","Pitcairn"
"Pitcairn","San Vincente y las Granadinas","Poland"
"Polinèsia Francesa","Santa Helena","Portugal"
"Polònia","Santa Lucia","Puerto Rico"
"Portugal","Santa Sede (Vaticano)","Qatar"
"Puerto Rico","Sao Tome & Principe","Reunion"
"Qatar","Senegal","Romania"
"Regne Unit","Seychelles","Russian Federation"
"República Txeca","Sierra Leona","Rwanda"
"República Dominicana","Singapur","Saint Helena"
"República Centreafricana","Siria","Saint Kitts And Nevis"
"República Democràtica del Congo","Somalia","Saint Lucia"
"Illa de la reunió","Sri Lanka (Ceilan)","Saint Pierre And Miquelon"
"Rwanda","Sudan","Saint Vincent And The Grenadines"
"Romania","Suecia","Samoa"
"Samoa","Suiza","San Marino"
"Saint Christopher i Nevis","Sur Africa","Sao Tome And Principe"
"Saint-Pierre-et-Miquelon","Surinam","Saudi Arabia"
"Saint Vincent i les Grenadines","Swaziland","Senegal"
"Santa Helena","Tailandia","Serbia And Montenegro"
"Saint Lucia","Taiwan","Seychelles"
"Príncipe São Tomé e Principe","Tajikistan","Sierra Leone"
"Senegal","Tanzania","Singapore"
"Seychelles","Timor Oriental","Slovakia"
"Sierra Leone","Togo","Slovenia"
"Singapur","Tokelau","Solomon Islands"
"Síria","Tonga","Somalia"
"Somàlia","Trinidad & Tobago","South Africa"
"Sud-àfrica","Tunisia","South Georgia And The South Sandwich Islands"
"Sri Lanka","Turkmenistan","Spain"
"Sudan","Turquia","Sri Lanka"
"Suècia","Ucrania","Sudan"
"Suïssa","Uganda","Suriname"
"Surinam","Union Europea","Svalbard And Jan Mayen"
"Swazilàndia","Uruguay","Swaziland"
"Tailàndia","Uzbekistan","Sweden"
"Taiwan","Vanuatu","Switzerland"
"Tadjikistan","Venezuela","Syrian Arab Republic"
"Tanzània","Vietnam","Taiwan, Province Of China"
"Timor Oriental","Yemen","Tajikistan"
"Togo","Yugoslavia","Tanzania, United Republic Of"
"Tonga","Zambia","Thailand"
"Trinitat i Tobago","Zimbabwe ","Timor-Leste"
"Tunísia","Cataluña","Togo"
"Turkmenistan",,"Tokelau"
"Turquia",,"Tonga"
"Tuvalu",,"Trinidad And Tobago"
"Uganda",,"Tunisia"
"Ucraïna",,"Turkey"
"Uruguai",,"Turkmenistan"
"Uzbekistan",,"Turks And Caicos Islands"
"Vanuatu",,"Tuvalu"
"Veneçuela",,"Uganda"
"Vietnam",,"Ukraine"
"Iemen",,"United Arab Emirates"
"Iugoslàvia",,"United Kingdom"
"Zàmbia",,"United States"
"Zimbabwe Zimbabwe",,"United States Minor Outlying Islands"
,,"Uruguay"
,,"Uzbekistan"
,,"Vanuatu"
,,"Venezuela"
,,"Viet Nam"
,,"Virgin Islands, British"
,,"Virgin Islands, U.S."
,,"Wallis And Futuna"
,,"Western Sahara"
,,"Yemen"
,,"Zambia"
,,"Zimbabwe"
,,"Catalonia"
